Auditor ID,Date,Price,Store ID,Product ID
234,10/18/17,24.95,66999,000268588472
234,10/27/17,49.71,66999,000475245085
234,10/20/17,25.75,66999,000126967843
234,10/23/17,18.81,66999,000708930835
234,10/23/17,33.32,66999,000325885139
234,10/16/17,40.43,66999,000509419735
234,10/22/17,35.1,66999,000736362595
234,10/21/17,33.65,66999,000652377244
234,10/16/17,22.3,66999,000277394644
234,10/20/17,12.32,66999,000996849471
234,10/22/17,18.25,66999,000278354885
234,10/23/17,17.35,66999,000215480572
234,10/21/17,9.53,66999,000526069074
234,10/24/17,9.94,66999,000265077864
234,10/18/17,55.21,66999,000627831552
234,10/17/17,36.82,66999,000992105314
234,10/16/17,61.56,66999,000039408244
234,10/20/17,1.34,66999,000372268051
234,10/28/17,32.01,66999,000375916960
234,10/21/17,44.76,66999,000742726716
234,10/18/17,2.65,66999,000243131192
234,10/25/17,52.15,66999,000388544851
234,10/29/17,48.86,66999,000905914857
234,10/28/17,2.22,66999,000226080317
234,10/21/17,32.2,66999,000502816606
234,10/24/17,61.77,66999,000986134213
234,10/18/17,16.64,66999,000714264288
234,10/18/17,20.64,66999,000585091176
234,10/28/17,38.82,66999,000645118810
234,10/17/17,56.14,66999,000081313305
234,10/17/17,37.47,66999,000213387822
234,10/24/17,9.23,66999,000226008184
234,10/25/17,14.12,66999,000252888653
234,10/25/17,12.8,66999,000561425157
234,10/20/17,39.06,66999,000396134202
234,10/21/17,47.3,66999,000546802474
234,10/28/17,35.67,66999,000333664376
234,10/28/17,62.82,66999,000981510405
234,10/19/17,38.67,66999,000090756884
234,10/23/17,6.21,66999,000019696884
234,10/21/17,50.26,66999,000303530277
234,10/29/17,46.64,66999,000173173585
234,10/20/17,57.75,66999,000506732002
234,10/20/17,13.84,66999,000060042797
234,10/29/17,24.25,66999,000795937333
234,10/17/17,17.61,66999,000916097175
234,10/28/17,37.8,66999,000291765113
234,10/28/17,48.24,66999,000963229417
234,10/29/17,26.97,66999,000256001467
234,10/22/17,3.97,66999,000205698731
234,10/23/17,23.1,66999,000899571200
234,10/21/17,6.02,66999,000163383455
234,10/24/17,41.95,66999,000769464973
234,10/28/17,12.46,66999,000927312846
234,10/22/17,3.16,66999,000699701113
234,10/23/17,31.82,66999,000115681900
234,10/19/17,5.3,66999,000383194572
234,10/20/17,43.11,66999,000339765937
234,10/16/17,19.93,66999,000690069404
234,10/22/17,41.12,66999,000095658838
234,10/26/17,8.7,66999,000850719150
234,10/25/17,11.91,66999,000643110527
234,10/28/17,42.4,66999,000127838957
234,10/22/17,3.66,66999,000353556196
234,10/16/17,17.07,66999,000582214622
234,10/16/17,19.73,66999,000928259579
234,10/20/17,52.41,66999,000311149036
234,10/19/17,26.91,66999,000388197861
234,10/18/17,28.12,66999,000774949377
234,10/27/17,29.56,66999,000503341824
234,10/23/17,43.05,66999,000205812283
234,10/29/17,28.92,66999,000098441419
